kemendagri_kode_desa_kelurahan,bps_kode_kabupaten_kota,skor_simpan_pinjam,skor_sinyal,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,kode_kabupaten_kota,skor_kesehatan,cluster
3212.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2003,3201,1,0.0,0.0,0.0,3201,4.610576923076923,2
3212.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3212.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2009,3201,1,0.0,0.0,0.0,3201,4.610576923076923,2
3213.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2011,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2012,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2013,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3213.2014,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2009,3201,1,0.0,0.0,0.0,3201,4.610576923076923,2
3214.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2011,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2012,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3214.2013,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
