id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jarak,jumlah_desa,satuan,tahun
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3001-4000 M,8,DESA,2020
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>4000 M,6,DESA,2020
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-1000 M,210,DESA,2020
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001-2000 M,9,DESA,2020
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,2001-3000 M,12,DESA,2020
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,3001-4000 M,7,DESA,2020
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,>4000 M,7,DESA,2020
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-1000 M,137,DESA,2020
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1001-2000 M,16,DESA,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2001-3000 M,7,DESA,2020
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3001-4000 M,5,DESA,2020
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>4000 M,18,DESA,2020
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-1000 M,235,DESA,2020
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1001-2000 M,27,DESA,2020
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2001-3000 M,10,DESA,2020
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3001-4000 M,6,DESA,2020
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>4000 M,19,DESA,2020
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-1000 M,152,DESA,2020
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,1001-2000 M,9,DESA,2020
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,2001-3000 M,8,DESA,2020
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,3001-4000 M,1,DESA,2020
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,>4000 M,10,DESA,2020
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-1000 M,152,DESA,2020
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1001-2000 M,8,DESA,2020
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2001-3000 M,2,DESA,2020
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3001-4000 M,0,DESA,2020
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>4000 M,3,DESA,2020
86,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-1000 M,80,DESA,2020
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001-2000 M,6,DESA,2020
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2001-3000 M,5,DESA,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3001-4000 M,1,DESA,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>4000 M,1,DESA,2020
91,32,JAWA BARAT,3279,KOTA BANJAR,0-1000 M,16,DESA,2020
92,32,JAWA BARAT,3279,KOTA BANJAR,1001-2000 M,0,DESA,2020
93,32,JAWA BARAT,3279,KOTA BANJAR,2001-3000 M,0,DESA,2020
94,32,JAWA BARAT,3279,KOTA BANJAR,3001-4000 M,0,DESA,2020
95,32,JAWA BARAT,3279,KOTA BANJAR,>4000 M,0,DESA,2020
96,32,JAWA BARAT,3201,KABUPATEN BOGOR,0-1000 M,390,DESA,2021
97,32,JAWA BARAT,3201,KABUPATEN BOGOR,1001-2000 M,18,DESA,2021
98,32,JAWA BARAT,3201,KABUPATEN BOGOR,2001-3000 M,4,DESA,2021
99,32,JAWA BARAT,3201,KABUPATEN BOGOR,3001-4000 M,3,DESA,2021
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,>4000 M,1,DESA,2021
101,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0-1000 M,366,DESA,2021
102,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1001-2000 M,7,DESA,2021
103,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2001-3000 M,3,DESA,2021
104,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3001-4000 M,0,DESA,2021
105,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>4000 M,5,DESA,2021
106,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0-1000 M,310,DESA,2021
107,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1001-2000 M,21,DESA,2021
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2001-3000 M,9,DESA,2021
109,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3001-4000 M,3,DESA,2021
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>4000 M,11,DESA,2021
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0-1000 M,266,DESA,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1001-2000 M,4,DESA,2021
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2001-3000 M,0,DESA,2021
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3001-4000 M,0,DESA,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>4000 M,0,DESA,2021
116,32,JAWA BARAT,3205,KABUPATEN GARUT,0-1000 M,412,DESA,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,1001-2000 M,8,DESA,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,2001-3000 M,1,DESA,2021
119,32,JAWA BARAT,3205,KABUPATEN GARUT,3001-4000 M,0,DESA,2021
120,32,JAWA BARAT,3205,KABUPATEN GARUT,>4000 M,0,DESA,2021
121,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0-1000 M,337,DESA,2021
122,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1001-2000 M,9,DESA,2021
123,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2001-3000 M,3,DESA,2021
124,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3001-4000 M,0,DESA,2021
125,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>4000 M,2,DESA,2021
126,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0-1000 M,256,DESA,2021
127,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001-2000 M,2,DESA,2021
128,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2001-3000 M,0,DESA,2021
129,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3001-4000 M,0,DESA,2021
130,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>4000 M,0,DESA,2021
