bps_kode_desa_kelurahan,bps_nama_kabupaten_kota,bps_nama_desa_kelurahan,tahun,jarak_sd_terdekat,keberadaan_bumdesa_keuangan_program_usaha_ekonomi_desa,jumlah_fasilitas_olahraga,status_sinyal_telepon_seluler,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,ketersediaan_tempat_pembuangan_sampah,jumlah_tenaga_kesehatan_lainnya,sinyal_score,bumdes_score,sampah_score,cluster,status_desa
3204040004.0,KABUPATEN BANDUNG,SUKALUYU,2020.0,50.0,TIDAK ADA,7.0,SINYAL LEMAH,0.0,1.0,TIDAK ADA,0,2,0,0,3,Sangat Tertinggal
3204040012.0,KABUPATEN BANDUNG,TRIBAKTIMULYA,2020.0,500.0,TIDAK ADA,8.0,SINYAL LEMAH,0.0,0.0,ADA,0,2,0,1,3,Sangat Tertinggal
3204040006.0,KABUPATEN BANDUNG,PULOSARI,2020.0,700.0,TIDAK ADA,6.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204040001.0,KABUPATEN BANDUNG,WANASUKA,2020.0,500.0,TIDAK ADA,14.0,SINYAL LEMAH,0.0,2.0,TIDAK ADA,5,2,0,0,3,Sangat Tertinggal
3204040007.0,KABUPATEN BANDUNG,MARGAMEKAR,2020.0,50.0,TIDAK ADA,5.0,SINYAL KUAT,0.0,0.0,ADA,1,3,0,1,1,Maju
3204150007.0,KABUPATEN BANDUNG,ARJASARI,2020.0,20.0,TIDAK ADA,7.0,SINYAL KUAT,2.0,2.0,ADA,6,3,0,1,1,Maju
3204150005.0,KABUPATEN BANDUNG,LEBAKWANGI,2020.0,100.0,TIDAK ADA,6.0,SINYAL KUAT,0.0,0.0,ADA,2,3,0,1,1,Maju
3204150001.0,KABUPATEN BANDUNG,BATUKARUT,2020.0,1.0,TIDAK ADA,10.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,3,3,0,0,0,Tertinggal
3204150011.0,KABUPATEN BANDUNG,ANCOLMEKAR,2020.0,20.0,TIDAK ADA,1.0,SINYAL LEMAH,0.0,0.0,TIDAK ADA,0,2,0,0,3,Sangat Tertinggal
3204150004.0,KABUPATEN BANDUNG,BAROS,2020.0,25.0,TIDAK ADA,5.0,SINYAL LEMAH,0.0,0.0,ADA,1,2,0,1,3,Sangat Tertinggal
3204150002.0,KABUPATEN BANDUNG,MANGUNJAYA,2020.0,500.0,TIDAK ADA,5.0,SINYAL LEMAH,1.0,1.0,ADA,0,2,0,1,3,Sangat Tertinggal
3204150003.0,KABUPATEN BANDUNG,MEKARJAYA,2020.0,300.0,TIDAK ADA,4.0,SINYAL LEMAH,10.0,70.0,ADA,0,2,0,1,3,Sangat Tertinggal
3204150008.0,KABUPATEN BANDUNG,PINGGIRSARI,2020.0,30.0,TIDAK ADA,3.0,SINYAL KUAT,0.0,2.0,ADA,0,3,0,1,1,Maju
3204150009.0,KABUPATEN BANDUNG,PATROLSARI,2020.0,200.0,TIDAK ADA,5.0,SINYAL KUAT,5.0,20.0,TIDAK ADA,0,3,0,0,2,Mandiri (Ekonomi)
3204150010.0,KABUPATEN BANDUNG,RANCAKOLE,2020.0,100.0,TIDAK ADA,6.0,SINYAL KUAT,2.0,4.0,ADA,1,3,0,1,1,Maju
3204150006.0,KABUPATEN BANDUNG,WARGALUYU,2020.0,500.0,TIDAK ADA,3.0,SINYAL KUAT,0.0,0.0,ADA,1,3,0,1,1,Maju
3204030004.0,KABUPATEN BANDUNG,CIMAUNG,2020.0,250.0,TIDAK ADA,6.0,SINYAL KUAT,30.0,30.0,ADA,2,3,0,1,2,Mandiri (Ekonomi)
3204030007.0,KABUPATEN BANDUNG,JAGABAYA,2020.0,25.0,TIDAK ADA,4.0,SINYAL KUAT,7.0,4.0,TIDAK ADA,5,3,0,0,0,Tertinggal
3204030006.0,KABUPATEN BANDUNG,PASIRHUNI,2020.0,20.0,TIDAK ADA,4.0,SINYAL LEMAH,4.0,6.0,ADA,1,2,0,1,3,Sangat Tertinggal
3204030005.0,KABUPATEN BANDUNG,CAMPAKAMULYA,2020.0,20.0,TIDAK ADA,6.0,SINYAL KUAT,8.0,10.0,ADA,8,3,0,1,2,Mandiri (Ekonomi)
3204030003.0,KABUPATEN BANDUNG,CIPINANG,2020.0,5.0,TIDAK ADA,6.0,SINYAL KUAT,3.0,6.0,ADA,1,3,0,1,1,Maju
3204030002.0,KABUPATEN BANDUNG,MEKARSARI,2020.0,5000.0,ADA,5.0,SINYAL KUAT,0.0,2.0,ADA,2,3,1,1,4,Mandiri (Tata Kelola)
3204030009.0,KABUPATEN BANDUNG,SUKAMAJU,2020.0,10.0,TIDAK ADA,8.0,SINYAL LEMAH,0.0,0.0,ADA,1,2,0,1,3,Sangat Tertinggal
3204030001.0,KABUPATEN BANDUNG,CIKALONG,2020.0,13.0,ADA,10.0,SINYAL KUAT,0.0,2.0,ADA,1,3,1,1,4,Mandiri (Tata Kelola)
3204030008.0,KABUPATEN BANDUNG,MALASARI,2020.0,1500.0,TIDAK ADA,3.0,SINYAL KUAT,0.0,20.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3204030010.0,KABUPATEN BANDUNG,WARJABAKTI,2020.0,750.0,TIDAK ADA,5.0,SINYAL KUAT,1.0,2.0,TIDAK ADA,3,3,0,0,0,Tertinggal
3204100009.0,KABUPATEN BANDUNG,CICALENGKA KULON,2020.0,10.0,TIDAK ADA,13.0,SINYAL KUAT,1.0,1.0,ADA,0,3,0,1,1,Maju
3204100004.0,KABUPATEN BANDUNG,CICALENGKA WETAN,2020.0,10.0,TIDAK ADA,19.0,SINYAL KUAT,3.0,4.0,ADA,5,3,0,1,1,Maju
3204100010.0,KABUPATEN BANDUNG,BABAKAN PEUTEUY,2020.0,10.0,TIDAK ADA,14.0,SINYAL KUAT,2.0,3.0,ADA,4,3,0,1,1,Maju
3204100005.0,KABUPATEN BANDUNG,CIKUYA,2020.0,10.0,TIDAK ADA,15.0,SINYAL KUAT,0.0,2.0,ADA,0,3,0,1,1,Maju
3204100011.0,KABUPATEN BANDUNG,DAMPIT,2020.0,10.0,TIDAK ADA,8.0,SINYAL KUAT,0.0,5.0,ADA,0,3,0,1,1,Maju
3204100003.0,KABUPATEN BANDUNG,MARGAASIH,2020.0,200.0,TIDAK ADA,17.0,SINYAL KUAT,0.0,3.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3204100002.0,KABUPATEN BANDUNG,NARAWITA,2020.0,3.0,TIDAK ADA,1.0,SINYAL KUAT,10.0,5.0,TIDAK ADA,8,3,0,0,0,Tertinggal
3204100007.0,KABUPATEN BANDUNG,PANENJOAN,2020.0,200.0,TIDAK ADA,13.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3204100012.0,KABUPATEN BANDUNG,TANJUNGWANGI,2020.0,50.0,TIDAK ADA,15.0,SINYAL KUAT,0.0,0.0,ADA,2,3,0,1,1,Maju
3204100008.0,KABUPATEN BANDUNG,TENJOLAYA,2020.0,100.0,TIDAK ADA,14.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,4,3,0,0,0,Tertinggal
3204100006.0,KABUPATEN BANDUNG,WALUYA,2020.0,6.0,TIDAK ADA,17.0,SINYAL KUAT,2.0,0.0,ADA,0,3,0,1,1,Maju
3204100001.0,KABUPATEN BANDUNG,NAGROG,2020.0,20.0,TIDAK ADA,28.0,SINYAL KUAT,15.0,0.0,ADA,7,3,0,1,1,Maju
3204101005.0,KABUPATEN BANDUNG,NAGREG,2020.0,10.0,TIDAK ADA,3.0,SINYAL KUAT,0.0,158.0,TIDAK ADA,1,3,0,0,0,Tertinggal
3204101002.0,KABUPATEN BANDUNG,BOJONG,2020.0,5.0,TIDAK ADA,18.0,SINYAL KUAT,0.0,2.0,ADA,2,3,0,1,1,Maju
3204101004.0,KABUPATEN BANDUNG,CIARO,2020.0,15.0,TIDAK ADA,22.0,SINYAL KUAT,150.0,8.0,ADA,3,3,0,1,2,Mandiri (Ekonomi)
3204101003.0,KABUPATEN BANDUNG,CIHERANG,2020.0,25.0,TIDAK ADA,10.0,SINYAL KUAT,0.0,0.0,ADA,5,3,0,1,1,Maju
3204101006.0,KABUPATEN BANDUNG,CITAMAN,2020.0,100.0,TIDAK ADA,7.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204101001.0,KABUPATEN BANDUNG,MANDALAWANGI,2020.0,10.0,TIDAK ADA,17.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3204101007.0,KABUPATEN BANDUNG,NAGREG KENDAN,2020.0,50.0,TIDAK ADA,10.0,SINYAL KUAT,0.0,5.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3204101008.0,KABUPATEN BANDUNG,GANJAR SABAR,2020.0,1176.0,TIDAK ADA,14.0,SINYAL KUAT,8.0,1.0,ADA,6,3,0,1,1,Maju
3204090006.0,KABUPATEN BANDUNG,MANDALASARI,2020.0,0.05,TIDAK ADA,7.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204090005.0,KABUPATEN BANDUNG,CIKANCUNG,2020.0,20.0,TIDAK ADA,10.0,SINYAL KUAT,0.0,0.0,ADA,2,3,0,1,1,Maju
3204090008.0,KABUPATEN BANDUNG,CIKASUNGKA,2020.0,5.0,TIDAK ADA,18.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204090004.0,KABUPATEN BANDUNG,CIHANYIR,2020.0,5.0,TIDAK ADA,22.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204090002.0,KABUPATEN BANDUNG,CILULUK,2020.0,200.0,TIDAK ADA,3.0,SINYAL LEMAH,0.0,0.0,ADA,2,2,0,1,3,Sangat Tertinggal
3204090007.0,KABUPATEN BANDUNG,HEGARMANAH,2020.0,300.0,ADA,11.0,SINYAL KUAT,0.0,1.0,ADA,1,3,1,1,4,Mandiri (Tata Kelola)
3204090003.0,KABUPATEN BANDUNG,MEKARLAKSANA,2020.0,200.0,TIDAK ADA,15.0,SINYAL LEMAH,2.0,8.0,ADA,1,2,0,1,3,Sangat Tertinggal
3204090009.0,KABUPATEN BANDUNG,TANJUNGLAYA,2020.0,100.0,TIDAK ADA,7.0,SINYAL KUAT,1.0,4.0,ADA,2,3,0,1,1,Maju
3204090001.0,KABUPATEN BANDUNG,SRIRAHAYU,2020.0,25.0,TIDAK ADA,9.0,SINYAL KUAT,5.0,35.0,ADA,1,3,0,1,2,Mandiri (Ekonomi)
3204110004.0,KABUPATEN BANDUNG,RANCAEKEK WETAN,2020.0,40.0,TIDAK ADA,7.0,SINYAL KUAT,10.0,10.0,ADA,2,3,0,1,2,Mandiri (Ekonomi)
3204110003.0,KABUPATEN BANDUNG,RANCAEKEK KULON,2020.0,20.0,TIDAK ADA,8.0,SINYAL KUAT,3.0,0.0,ADA,0,3,0,1,1,Maju
3204110011.0,KABUPATEN BANDUNG,BOJONGSALAM,2020.0,5.0,TIDAK ADA,5.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204110005.0,KABUPATEN BANDUNG,BOJONGLOA,2020.0,10.0,TIDAK ADA,5.0,SINYAL KUAT,0.0,4.0,ADA,30,3,0,1,1,Maju
3204110006.0,KABUPATEN BANDUNG,JELEGONG,2020.0,10.0,TIDAK ADA,6.0,SINYAL KUAT,3.0,3.0,ADA,0,3,0,1,1,Maju
3204110007.0,KABUPATEN BANDUNG,LINGGAR,2020.0,500.0,TIDAK ADA,17.0,SINYAL KUAT,15.0,3.0,ADA,2,3,0,1,2,Mandiri (Ekonomi)
